# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669785280, 0, 0, 12, 12, 2, 2.42%, 0, 0, 1, 0.00
1669785285, 0, 2, 12, 12, 2, 2.42%, 0, 0, 1, 60.66
1669785316, 0, 2, 19, 19, 2, 2.50%, 0, 0, 2, 60.69
1669785321, 0, 2, 32, 32, 2, 2.62%, 0, 0, 2, 60.98
1669785326, 0, 2, 37, 37, 2, 2.64%, 0, 0, 2, 60.89
1669785331, 0, 2, 44, 44, 2, 2.66%, 0, 0, 2, 60.19
1669785336, 0, 2, 53, 53, 2, 2.66%, 0, 0, 2, 60.27
1669785341, 0, 2, 66, 66, 2, 2.66%, 0, 0, 2, 60.44
1669785346, 0, 2, 68, 68, 2, 2.66%, 0, 0, 2, 59.82
1669785351, 0, 2, 76, 76, 2, 2.69%, 0, 0, 2, 60.19
1669785356, 0, 2, 78, 78, 2, 2.69%, 0, 0, 2, 59.97
1669785362, 0, 2, 85, 85, 2, 2.72%, 0, 0, 2, 60.01
1669785367, 0, 2, 92, 92, 2, 2.84%, 0, 0, 2, 61.22
1669785372, 0, 2, 93, 93, 2, 2.84%, 0, 0, 2, 60.31
1669785377, 0, 2, 95, 95, 2, 2.84%, 0, 0, 2, 58.07
1669785382, 0, 2, 98, 98, 2, 2.85%, 0, 0, 2, 59.11
1669785407, 0, 2, 99, 99, 2, 2.85%, 0, 0, 2, 60.11
1669785427, 0, 2, 101, 101, 2, 2.85%, 0, 0, 2, 61.73
1669785443, 0, 2, 102, 102, 2, 2.85%, 0, 0, 2, 61.16
1669785453, 0, 2, 109, 109, 2, 2.87%, 0, 0, 2, 61.41
1669785468, 0, 2, 110, 110, 2, 2.88%, 0, 0, 2, 61.45
1669785484, 0, 2, 111, 111, 2, 2.88%, 0, 0, 2, 61.19
1669785499, 0, 2, 112, 112, 2, 2.88%, 0, 0, 2, 57.01
1669785514, 0, 2, 113, 113, 2, 2.88%, 0, 0, 2, 60.30
1669785540, 0, 2, 114, 114, 2, 2.88%, 0, 0, 2, 60.15
1669785545, 0, 2, 115, 115, 2, 2.88%, 0, 0, 2, 61.71
1669785607, 0, 2, 116, 116, 2, 2.88%, 0, 0, 2, 60.79
1669785652, 0, 2, 117, 117, 2, 2.88%, 0, 0, 2, 61.25
1669785789, 0, 2, 118, 118, 2, 2.88%, 0, 0, 2, 60.29
1669785825, 0, 2, 119, 119, 2, 2.89%, 0, 0, 2, 57.14
1669785881, 0, 2, 121, 121, 2, 2.89%, 0, 0, 2, 55.17
1669785887, 0, 2, 124, 124, 2, 2.89%, 0, 0, 2, 57.21
1669785902, 0, 2, 125, 125, 2, 2.89%, 0, 0, 2, 56.29
1669785963, 0, 2, 126, 126, 2, 2.89%, 0, 0, 2, 56.32
1669785999, 0, 2, 127, 127, 2, 2.89%, 0, 0, 2, 55.85
1669786076, 0, 2, 128, 128, 2, 2.89%, 0, 0, 2, 55.63
1669786133, 0, 2, 137, 137, 2, 2.89%, 0, 0, 2, 55.01
1669786154, 0, 2, 139, 139, 2, 2.89%, 0, 0, 2, 55.11
1669786308, 0, 2, 142, 142, 2, 2.89%, 0, 0, 2, 58.67
1669786313, 0, 2, 148, 148, 2, 2.89%, 0, 0, 2, 57.91
1669786328, 0, 2, 149, 149, 2, 2.89%, 0, 0, 2, 57.77
1669786661, 0, 2, 151, 151, 2, 2.89%, 0, 0, 2, 52.20
1669786666, 0, 2, 152, 152, 2, 2.89%, 0, 0, 2, 49.46
1669786671, 0, 2, 153, 153, 2, 2.90%, 0, 0, 2, 51.96
1669786676, 0, 2, 154, 154, 2, 2.90%, 0, 0, 2, 53.25
1669786787, 0, 2, 155, 155, 2, 2.90%, 0, 0, 2, 57.57
1669786803, 0, 2, 156, 156, 2, 2.90%, 0, 0, 2, 54.88
1669787167, 0, 2, 157, 157, 2, 2.90%, 0, 0, 2, 53.25
1669787426, 0, 2, 158, 158, 2, 2.90%, 0, 0, 2, 53.75
1669787518, 0, 2, 159, 159, 2, 2.90%, 0, 0, 2, 57.86
1669787548, 0, 2, 160, 160, 2, 2.90%, 0, 0, 2, 61.06
1669787936, 0, 2, 162, 162, 2, 2.90%, 0, 0, 2, 60.25
1669788283, 0, 2, 164, 164, 2, 2.90%, 0, 0, 2, 59.25
1669788335, 0, 2, 165, 165, 2, 2.90%, 0, 0, 2, 58.44
